synonyms	doi	model_treatment	msi_status	mutational_burden	ploidy	parent_id	mutation_data	methylation_data	expression_data	cnv_data	crispr_ko_data	fusion_data	drug_data	cancer_type	cancer_type_ncit_id	sampling_day	sample_treatment_details	tnm_integrated	species	HCMI
			MSS	24.0	2.863161805		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Hodgkin's Lymphoma	C9357				Homo Sapiens	
			MSS	15.9	2.094719016		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Melanoma	C3224				Homo Sapiens	
							0.0	0.0	0.0	0.0	0.0	0.0	0.0	Melanoma	C3224				Homo Sapiens	
				6.466666667	3.633056872		1.0	0.0	1.0	1.0	0.0	0.0	1.0	Gastric Carcinoma	C4004				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pancreatic Carcinoma	C3850				Homo Sapiens	
	10.1073/pnas.90.7.2842	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Colorectal Carcinoma	C4349				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	B-Lymphoblastic Leukemia	C8644				Homo Sapiens	
			MSS	6.066666667	2.457896684		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Pancreatic Carcinoma	C9120				Homo Sapiens	
RH30SJ;SJCRH30;RC13;RMS 13;RH-30			MSS	8.666666667	4.66488877		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Rhabdomyosarcoma	C3749				Homo Sapiens	
		Transformed (EBV)					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C41168				Homo Sapiens	
OESO-106		None	MSS				1.0	0.0	0.0	0.0	0.0	0.0	0.0	Esophageal Carcinoma	C4025	1.0	"Capecitabine
Cisplatin
Epirubicin"	IIIA	Homo Sapiens	
			MSS	5.3	1.979310724		1.0	1.0	1.0	1.0	0.0	0.0	1.0	T-Lymphoblastic Leukemia	C9142				Homo Sapiens	
NCI-SNU-C2A							0.0	0.0	1.0	0.0	0.0	0.0	0.0	Colorectal Carcinoma	C5543				Homo Sapiens	
	10.1038/sj.bjc.6600440						0.0	0.0	1.0	0.0	0.0	0.0	0.0	Biliary Tract Carcinoma	C6650				Homo Sapiens	
H766T			MSS	6.4	2.397418312		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Pancreatic Carcinoma	C8294				Homo Sapiens	
hSCC-25			MSS	4.666666667	1.857550823		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Oral Cavity Carcinoma	C4648				Homo Sapiens	
OACM5.1 C			MSS	6.0	1.921047674		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Esophageal Carcinoma	C4025				Homo Sapiens	
			MSS	4.766666667	2.03884183		1.0	1.0	1.0	1.0	0.0	0.0	0.0	Other Blood Cancers	C7402				Homo Sapiens	
IARC-EW7			MSS	9.666666667	2.431851919		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Ewing's Sarcoma	C4817	5.0			Homo Sapiens	
			MSS	14.0	3.702383258		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Non-Small Cell Lung Carcinoma	C3512				Homo Sapiens	
	10.1002/path.1711600313	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Oral Cavity Carcinoma	C4833				Homo Sapiens	
	10.1099/0022-1317-68-2-583	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cervical Carcinoma	C27676				Homo Sapiens	
					3.646216611		1.0	0.0	1.0	0.0	0.0	0.0	1.0	B-Cell Non-Hodgkin's Lymphoma	C6915				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Endometrial Carcinoma	C7359				Homo Sapiens	
			MSS	7.766666667	2.760475955		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Pancreatic Carcinoma	C8294				Homo Sapiens	
SJNB-5;NB5-DH;NJF			MSS	10.96666667	1.815471444		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Neuroblastoma	C3270				Homo Sapiens	
			MSS	5.766666667	3.198316845		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Oral Cavity Carcinoma	C4648				Homo Sapiens	
SKML-28;AU-Mel;P-36			MSS	9.933333333	3.926101789		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Melanoma	C3510				Homo Sapiens	
			MSS	7.166666667	1.899152788		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Plasma Cell Myeloma	C3242				Homo Sapiens	
			MSS	6.533333333	3.473378305		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Plasma Cell Myeloma	C3242				Homo Sapiens	
	10.1002/1097-0142(19920415)69:8<2060::aid-cncr2820690810>3.0.co;2-e	Unknown				SIDM01654	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pancreatic Carcinoma	C8294				Homo Sapiens	
			MSS	3.0	1.990739243		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Kidney Carcinoma	C9385				Homo Sapiens	
MDA-436			MSS	9.5	2.973191208		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Breast Carcinoma	C4194				Homo Sapiens	
AX-Mel			MSS	12.0	3.36389185		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Melanoma	C3224				Homo Sapiens	
	10.1016/S0145-2126(99)00195-2	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Plasma Cell Myeloma	C3242				Homo Sapiens	
	10.1002/jcb.240630505	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Small Cell Lung Carcinoma	C4917	13.0			Homo Sapiens	
							0.0	0.0	1.0	0.0	0.0	0.0	0.0	Hepatocellular Carcinoma	C3728				Homo Sapiens	
			MSS	12.4	2.901748214		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Head and Neck Carcinoma	C34447				Homo Sapiens	
	10.1290/1071-2690(2001)037<0625:EACONH>2.0.CO;2	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Glioblastoma	C3058				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Melanoma	C3224				Homo Sapiens	
			MSS	13.2	3.505500721	SIDM00991	1.0	1.0	1.0	1.0	0.0	0.0	1.0	T-Lymphoblastic Leukemia	C7953				Homo Sapiens	
		Transformed (EBV)					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C41168				Homo Sapiens	
			MSS	12.3	3.257616824		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Ovarian Carcinoma	C40078		Five courses of CAP; cyclophosphamide, adriamycin and cis-platinum.		Homo Sapiens	
			MSS	5.7	1.936489416		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Colorectal Carcinoma	C4349				Homo Sapiens	
			MSS	11.7	2.15408807		1.0	1.0	1.0	1.0	0.0	0.0	1.0	B-Cell Non-Hodgkin's Lymphoma	C8851				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Small Cell Lung Carcinoma	C3512				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Endometrial Carcinoma	C7359				Homo Sapiens	
MCC13TC	10.1002/ijc.2910600115	Unknown			1.963989987		1.0	0.0	1.0	0.0	0.0	0.0	1.0	Other Solid Carcinomas	C9231		Unknown		Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Prostate Carcinoma	C4863		Suramin and Doxorubicin		Homo Sapiens	
			MSS	9.633333333	1.976297755		1.0	1.0	1.0	1.0	0.0	0.0	1.0	B-Lymphoblastic Leukemia	C9140				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ovarian Carcinoma	C40078				Homo Sapiens	
		Transformed (Unknown)					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C41168				Homo Sapiens	
		Transformed (EBV)					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C41168				Homo Sapiens	
D324 Med			MSS	5.233333333	4.154167041		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Other Solid Carcinomas	C3222				Homo Sapiens	
			MSS	7.366666667	2.102545009		1.0	1.0	1.0	1.0	0.0	0.0	1.0	B-Cell Non-Hodgkin's Lymphoma	C8851				Homo Sapiens	
Farage OL;Farage Original Line			MSS	35.7	1.975276974		1.0	1.0	1.0	1.0	0.0	0.0	1.0	B-Cell Non-Hodgkin's Lymphoma	C8851				Homo Sapiens	
			MSS	10.03333333	3.868493705		1.0	1.0	1.0	1.0	0.0	0.0	1.0	B-Cell Non-Hodgkin's Lymphoma	C8851				Homo Sapiens	
			MSS	7.0	2.030552547		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Rhabdomyosarcoma	C3359				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ewing's Sarcoma	C4817				Homo Sapiens	
			MSS	20.8	3.920457827		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Esophageal Squamous Cell Carcinoma	C4024				Homo Sapiens	
			MSS	15.66666667	2.31124122		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Non-Small Cell Lung Carcinoma	C4450				Homo Sapiens	
			MSS	7.533333333	3.226174498	SIDM00314	1.0	1.0	0.0	1.0	0.0	0.0	1.0	Breast Carcinoma	C4194				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Ewing's Sarcoma	C4817				Homo Sapiens	
			MSS	18.36666667	2.470210817		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Squamous Cell Lung Carcinoma	C3493				Homo Sapiens	
			MSS	21.53333333	2.891675595		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Hodgkin's Lymphoma	C9357				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Melanoma	C7712				Homo Sapiens	
	10.1016/0165-4608(91)90359-3	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C6586				Homo Sapiens	
					2.545620484		0.0	0.0	1.0	0.0	0.0	0.0	1.0	Colorectal Carcinoma	C4910				Homo Sapiens	
			MSS	6.233333333	1.942867859		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Ewing's Sarcoma	C4817				Homo Sapiens	
			MSS	22.63333333	1.988446209		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Breast Carcinoma	C4872				Homo Sapiens	
			MSS	4.0	3.202607903		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Pancreatic Carcinoma	C9120				Homo Sapiens	
			MSS	6.533333333	3.285277894		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Mesothelioma	C45662				Homo Sapiens	
			MSS	8.8	3.32176115		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Non-Small Cell Lung Carcinoma	C2923				Homo Sapiens	
			MSS	2.6	2.027563123		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Head and Neck Carcinoma	C34447				Homo Sapiens	
			MSS	15.56666667	1.846327222		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Small Cell Lung Carcinoma	C4917				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Glioblastoma	C3058				Homo Sapiens	
LNT-229			MSS	9.233333333	3.676168433		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Glioblastoma	C3058				Homo Sapiens	
	10.1002/ijc.2910600115	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C9231				Homo Sapiens	
Mevo;SK-MEL-MeWo;BI-Mel;EST50			MSS	143.1666667	1.929835775		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Melanoma	C3224				Homo Sapiens	
Thomas Wirts			MSS	6.066666667	2.093916373		1.0	0.0	1.0	1.0	0.0	0.0	1.0	Kidney Carcinoma	C9385				Homo Sapiens	
			MSS	3.133333333	2.337792141		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Kidney Carcinoma	C6975				Homo Sapiens	
						SIDM01016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	T-Lymphoblastic Leukemia	C7953				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Bladder Carcinoma	C4912				Homo Sapiens	
	10.1002/ajh.2830500209	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	B-Cell Non-Hodgkin's Lymphoma	C3457		Combination chemotherapy with cyclophosphamide, vincristine, doxorubicin and prednisolone (CHOP).		Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Endometrial Carcinoma	C7558				Homo Sapiens	
			MSI	59.66666667	1.972256744		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Cervical Carcinoma	C4028				Homo Sapiens	
			MSS	8.266666667	2.947499808		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Breast Carcinoma	C4194				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C121804				Homo Sapiens	
GM03320							0.0	1.0	1.0	0.0	0.0	0.0	0.0	Neuroblastoma	C3270				Homo Sapiens	
		Transformed (EBV)					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C41168				Homo Sapiens	
			MSS	10.73333333	3.044549639		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Colorectal Carcinoma	C43584				Homo Sapiens	
				17.93333333	3.090489832		1.0	0.0	1.0	1.0	0.0	0.0	1.0	Plasma Cell Myeloma	C3242				Homo Sapiens	
			MSI	56.06666667	2.123303262		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Colorectal Carcinoma	C4349				Homo Sapiens	
HCC0038			MSS	3.833333333	1.822823741		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Breast Carcinoma	C4017	27.0			Homo Sapiens	
			MSS	19.56666667	2.4042772		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Non-Small Cell Lung Carcinoma	C2926				Homo Sapiens	
NCI-446			MSS	22.3	3.113513859		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Small Cell Lung Carcinoma	C4917				Homo Sapiens	
			MSS	5.9	2.556255696		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Non-Small Cell Lung Carcinoma	C3512				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Head and Neck Carcinoma	C4648				Homo Sapiens	
TPA-U937-resistant			MSI	9.966666667	2.417340196	SIDM01195	1.0	1.0	1.0	1.0	0.0	0.0	1.0	Acute Myeloid Leukemia	C8263				Homo Sapiens	
KY-270			MSS	21.23333333	2.866726827		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Esophageal Squamous Cell Carcinoma	C4024				Homo Sapiens	
			MSS	3.9	3.376669848		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Mesothelioma	C45662				Homo Sapiens	
							0.0	0.0	1.0	0.0	0.0	0.0	0.0	T-Lymphoblastic Leukemia	C9142				Homo Sapiens	
	10.1016/0165-4608(92)90215-T	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	T-Cell Non-Hodgkin's Lymphoma	C3466				Homo Sapiens	
L23/P			MSS	7.833333333	2.216467274		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Non-Small Cell Lung Carcinoma	C4450				Homo Sapiens	
						SIDM00846	0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cervical Carcinoma	C4029				Homo Sapiens	
	10.1016/j.molonc.2014.06.004	None					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Melanoma	C7712				Homo Sapiens	
			MSS	7.1	2.441296741		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Hodgkin's Lymphoma	C9357				Homo Sapiens	
			MSS	7.7	3.898951672		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Neuroblastoma	C3270				Homo Sapiens	
	10.1183/09031936.99.13352799	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Mesothelioma	C45662				Homo Sapiens	
	10.1084/jem.169.5.1557		MSS	4.666666667	1.981028028		1.0	1.0	1.0	1.0	0.0	0.0	1.0	B-Lymphoblastic Leukemia	C8644				Homo Sapiens	
	10.1006/gyno.1997.4802						0.0	0.0	1.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C9180				Homo Sapiens	
	10.1620/tjem.143.33	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pancreatic Carcinoma	C3850				Homo Sapiens	
			MSS	14.46666667	3.704122434		1.0	0.0	1.0	1.0	0.0	0.0	1.0	Acute Myeloid Leukemia	C7972				Homo Sapiens	
							0.0	0.0	1.0	0.0	0.0	0.0	0.0	T-Lymphoblastic Leukemia	C7953				Homo Sapiens	
AA-Mel			MSS	14.56666667	3.317158496		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Melanoma	C3510				Homo Sapiens	
			MSS	7.133333333	3.65490882		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Ovarian Carcinoma	C105555				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Melanoma	C3224				Homo Sapiens	
OESO_165		None	MSS				1.0	0.0	0.0	0.0	0.0	0.0	0.0	Esophageal Carcinoma	C4025	15.0		IIIB	Homo Sapiens	
		Transformed (EBV)					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C41168				Homo Sapiens	
			MSS	10.3	4.599729197		1.0	1.0	1.0	1.0	0.0	0.0	1.0	B-Cell Non-Hodgkin's Lymphoma	C4337				Homo Sapiens	
			MSS	4.8	2.653350809		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Endometrial Carcinoma	C7359				Homo Sapiens	
			MSS	6.966666667	2.010552872		1.0	1.0	1.0	1.0	0.0	0.0	1.0	B-Cell Non-Hodgkin's Lymphoma	C8851				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Burkitt's Lymphoma	C2912		Chemotherapeutic treatment included cyclophosphamide, vincristine, high-dose methotrexate, dexamethasone, carmustine, etoposide, cytarabine, melphalane and rituximab.  Treatment also included radiotherapy of the abdominal tumor region.		Homo Sapiens	
	10.1007/BF01806153	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Breast Carcinoma	C4194				Homo Sapiens	
							0.0	0.0	0.0	0.0	0.0	0.0	0.0	Melanoma	C3224				Homo Sapiens	
							0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pancreatic Carcinoma	C5721				Homo Sapiens	
	10.1007/bf01851205	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Biliary Tract Carcinoma	C35417				Homo Sapiens	
			MSS	7.066666667	3.411604635		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Acute Myeloid Leukemia	C3182				Homo Sapiens	
SJNB-7;NB7-DH;NCG;SJ-NCG			MSS	8.033333333	3.038082435		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Neuroblastoma	C3270				Homo Sapiens	
							0.0	0.0	1.0	1.0	0.0	0.0	1.0	Squamous Cell Lung Carcinoma	C3493				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C6586				Homo Sapiens	
Caco-2/BBe 1			MSS	8.466666667	3.505671881	SIDM00891	1.0	1.0	1.0	1.0	0.0	0.0	1.0	Colorectal Carcinoma	C4349				Homo Sapiens	
			MSS	8.233333333	2.056642134		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Acute Myeloid Leukemia	C8263				Homo Sapiens	
	10.1002/jcb.240630505	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Small Cell Lung Carcinoma	C4917	10.0			Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C3222				Homo Sapiens	
NCI-H3255;H3255_DA			MSS	5.266666667	2.513398136		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Non-Small Cell Lung Carcinoma	C3512				Homo Sapiens	
	10.1002/ijc.2910410621	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Blood Cancers	C3163				Homo Sapiens	
		Transformed (EBV)					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C41168				Homo Sapiens	
			MSS	8.966666667	2.439138121		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Kidney Carcinoma	C4033				Homo Sapiens	
	10.1002/ijc.2910440212	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Mesothelioma	C45665				Homo Sapiens	
NCI-128			MSS	7.2	2.851627584		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Small Cell Lung Carcinoma	C4917				Homo Sapiens	
			MSS	3.966666667	3.657971972		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Other Solid Carcinomas	C3716				Homo Sapiens	
			MSS	177.9	2.044700045		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Colorectal Carcinoma	C4910				Homo Sapiens	
			MSS	5.966666667	2.929097734		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Pancreatic Carcinoma	C8294				Homo Sapiens	
				39.0	1.952121177		1.0	0.0	1.0	1.0	0.0	0.0	1.0	Colorectal Carcinoma	C4349				Homo Sapiens	
Panc 8.13;Pa14C;PL9			MSS	9.0	2.42712539		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Pancreatic Carcinoma	C9120				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Mesothelioma	C7376				Homo Sapiens	
A431/P			MSS	13.76666667	3.30172151		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Other Solid Carcinomas	C4052				Homo Sapiens	
			MSS	9.766666667	1.95738756		1.0	1.0	1.0	1.0	0.0	0.0	1.0	B-Lymphoblastic Leukemia	C9140				Homo Sapiens	
NCI-SNU-308	10.1038/sj.bjc.6600440						0.0	0.0	1.0	0.0	0.0	0.0	0.0	Biliary Tract Carcinoma	C3844				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C6906				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pancreatic Carcinoma	C3850				Homo Sapiens	
8305C_1			MSS	10.06666667	3.094779312		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Thyroid Gland Carcinoma	C3878				Homo Sapiens	
	10.1002/jcb.240630505	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Small Cell Lung Carcinoma	C3512	26.0	Cis-platinum		Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Pancreatic Carcinoma	C8294	2.0		IIB	Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Colorectal Carcinoma	C9383	21.0	"Capecitabine
Oxaliplatin"	IIA	Homo Sapiens	
			MSS	10.96666667	3.668982105		1.0	1.0	1.0	1.0	0.0	0.0	1.0	T-Lymphoblastic Leukemia	C7953				Homo Sapiens	
			MSS	9.0	1.894480883		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Small Cell Lung Carcinoma	C4917				Homo Sapiens	
	10.1006/gyno.1996.0194		MSI	76.3	2.928705319		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Ovarian Carcinoma	C7550				Homo Sapiens	
							0.0	0.0	0.0	0.0	0.0	0.0	0.0	Colorectal Carcinoma	C4349	31.0	5-FU		Homo Sapiens	
	10.1007/BF00046337	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Melanoma	C3224				Homo Sapiens	
NCI-HUT-520			MSS	8.166666667	4.633640102		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Squamous Cell Lung Carcinoma	C3493				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C3400				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Kidney Carcinoma	C4033				Homo Sapiens	
			MSS	10.43333333	2.376997821		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Gastric Carcinoma	C8398				Homo Sapiens	
COLO-HSR			MSS	6.6	2.270269306		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Colorectal Carcinoma	C4349				Homo Sapiens	
COLO_141		None	MSS				1.0	0.0	0.0	0.0	0.0	0.0	0.0	Colorectal Carcinoma	C4349	27.0		IIIB	Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	B-Cell Non-Hodgkin's Lymphoma	C8851				Homo Sapiens	
			MSI	35.23333333	2.020942226		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Ovarian Carcinoma	C40078				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C6586				Homo Sapiens	
COLO_023		None	MSS				1.0	0.0	0.0	0.0	0.0	0.0	0.0	Colorectal Carcinoma	C7041	24.0			Homo Sapiens	
			MSS	34.23333333	1.963405367		1.0	1.0	1.0	1.0	0.0	0.0	1.0	T-Lymphoblastic Leukemia	C7953				Homo Sapiens	
Lung cancer-1/squamous			MSS	15.26666667	2.351208534		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Squamous Cell Lung Carcinoma	C3493				Homo Sapiens	
	10.1093/carcin/bgq043	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Colorectal Carcinoma	C4349				Homo Sapiens	
			MSS	5.533333333	2.597874558		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Pancreatic Carcinoma	C8294				Homo Sapiens	
			MSS	4.333333333	1.9837102		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Neuroblastoma	C3270				Homo Sapiens	
	10.1002/jcb.240630505	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C41168	15.0			Homo Sapiens	
	10.1016/S0145-2126(02)00023-1	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Blood Cancers	C4664	3.0			Homo Sapiens	
	10.1111/j.1349-7006.1999.tb00838.x	Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Glioma	C3059				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Breast Carcinoma	C4872				Homo Sapiens	
						SIDM00121	0.0	0.0	0.0	0.0	0.0	0.0	0.0	T-Lymphoblastic Leukemia	C7953				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Mesothelioma	C45663				Homo Sapiens	
UPCI-SCC-090;UPCI-SCC-90				7.9	3.291999149		0.0	0.0	1.0	0.0	0.0	0.0	1.0	Head and Neck Carcinoma	C34447				Homo Sapiens	
							0.0	0.0	0.0	0.0	0.0	0.0	0.0	Non-Cancerous	C45714				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	B-Lymphoblastic Leukemia	C8644				Homo Sapiens	
			MSS	9.066666667	3.185275888		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Melanoma	C3224				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Kidney Carcinoma	C9385				Homo Sapiens	
			MSS	8.7	2.299641223		1.0	1.0	1.0	1.0	0.0	0.0	1.0	Melanoma	C3224				Homo Sapiens	
KTCTL-140			MSS	6.7	1.942871787		1.0	0.0	1.0	1.0	0.0	0.0	1.0	Kidney Carcinoma	C4033				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Cervical Carcinoma	C7982				Homo Sapiens	
		Unknown					0.0	0.0	0.0	0.0	0.0	0.0	0.0	Other Solid Carcinomas	C8715				Homo Sapiens	
