model_id,passage_range,treatment_name,treatment_type,treatment_dose,administration_route,treatment_schedule,treatment_length,treatment_response,response_classification,platform_id,provider
NIBRX-1870,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2017,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3843,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1683,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4819,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3029,,CGM097,treatment,100 mg/kg,oral,daily,,partial response,,drugdosing,DFCI-CPDM
NIBRX-1499,,CGM097,treatment,100 mg/kg,oral,daily,,complete response,,drugdosing,DFCI-CPDM
NIBRX-3127,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2602,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2700,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3880,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2613,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4426,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4668,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4455,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4849,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2163,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3486,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4339,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3746,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3676,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2921,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4832,,CGM097,treatment,100 mg/kg,oral,daily,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-4644,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3503,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4538,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1655,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3773,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1906,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2306,,CGM097,treatment,100 mg/kg,oral,daily,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-2753,,CGM097,treatment,100 mg/kg,oral,daily,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-4157,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4530,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3211,,CGM097,treatment,100 mg/kg,oral,daily,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-2838,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5189,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2723,,CGM097,treatment,100 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3792,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1119,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1173,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1270,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1536,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1167,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1500,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2145,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2483,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2822,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2861,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1329,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2403,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5438,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1027,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2659,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-0933,,CKX620,treatment,30 mg/kg,oral,daily,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-3093,,CKX620,treatment,30 mg/kg,oral,daily,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-3267,,CKX620,treatment,30 mg/kg,oral,daily,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-1055,,CKX620,treatment,30 mg/kg,oral,daily,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-1303,,CKX620,treatment,30 mg/kg,oral,daily,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-2374,,CKX620,treatment,30 mg/kg,oral,daily,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-3205,,CKX620,treatment,30 mg/kg,oral,daily,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-5495,,CKX620,treatment,30 mg/kg,oral,daily,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-1441,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5254,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5405,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5494,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2182,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2484,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1479,,CKX620,treatment,30 mg/kg,oral,daily,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-2846,,CKX620,treatment,30 mg/kg,oral,daily,,complete response,,drugdosing,DFCI-CPDM
NIBRX-3224,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1443,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1855,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1290,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5578,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5446,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4087,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2538,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2573,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1156,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1499,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1658,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1934,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1980,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1172,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2088,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1323,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1442,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1725,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3237,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1870,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4819,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1823,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1787,,CKX620,treatment,30 mg/kg,oral,daily,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-1834,,CKX620,treatment,30 mg/kg,oral,daily,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-3843,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2082,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1586,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2017,,CKX620,treatment,30 mg/kg,oral,daily,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2042,,CKX620,treatment,30 mg/kg,oral,daily,,partial response,,drugdosing,DFCI-CPDM
NIBRX-1683,,CKX620,treatment,30 mg/kg,oral,daily,,partial response,,drugdosing,DFCI-CPDM
NIBRX-1835,,CKX620,treatment,30 mg/kg,oral,daily,,partial response,,drugdosing,DFCI-CPDM
NIBRX-3029,,CKX620,treatment,30 mg/kg,oral,daily,,partial response,,drugdosing,DFCI-CPDM
NIBRX-1993,,CKX620,treatment,30 mg/kg,oral,daily,,complete response,,drugdosing,DFCI-CPDM
NIBRX-1298,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1371,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2344,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2487,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2780,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1004,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1008,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1407,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1468,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1600,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1921,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2640,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3078,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4888,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5355,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4347,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5502,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1832,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2353,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2524,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1631,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2195,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1383,,CLR457,treatment,20 mg/kg,oral,twice per day,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-1286,,CLR457,treatment,20 mg/kg,oral,twice per day,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-3298,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3077,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5975,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-6047,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3450,,CLR457,treatment,20 mg/kg,oral,twice per day,,partial response,,drugdosing,DFCI-CPDM
NIBRX-3697,,CLR457,treatment,20 mg/kg,oral,twice per day,,partial response,,drugdosing,DFCI-CPDM
NIBRX-3873,,CLR457,treatment,20 mg/kg,oral,twice per day,,partial response,,drugdosing,DFCI-CPDM
NIBRX-4824,,CLR457,treatment,20 mg/kg,oral,twice per day,,partial response,,drugdosing,DFCI-CPDM
NIBRX-4949,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5249,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1828,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4567,,CLR457,treatment,20 mg/kg,oral,twice per day,,complete response,,drugdosing,DFCI-CPDM
NIBRX-3201,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1916,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3468,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1119,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3792,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-0933,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1173,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1270,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1536,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3267,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1055,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3093,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2374,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2483,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2822,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3205,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1441,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5254,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5438,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5494,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1027,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1167,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1303,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2659,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2861,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5495,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1329,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1538,,CLR457,treatment,20 mg/kg,oral,twice per day,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-2145,,CLR457,treatment,20 mg/kg,oral,twice per day,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-2403,,CLR457,treatment,20 mg/kg,oral,twice per day,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-1500,,CLR457,treatment,20 mg/kg,oral,twice per day,,partial response,,drugdosing,DFCI-CPDM
NIBRX-5405,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2182,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2484,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1479,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2846,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2239,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3224,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1443,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5578,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1290,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5446,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4087,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2538,,CLR457,treatment,20 mg/kg,oral,twice per day,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-2573,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2082,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1156,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1172,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1499,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1787,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1934,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2088,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1586,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1658,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1980,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2042,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1323,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1683,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1835,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1870,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3843,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1442,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1725,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3237,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1823,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2017,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1834,,CLR457,treatment,20 mg/kg,oral,twice per day,,stable disease,,drugdosing,DFCI-CPDM
NIBRX-3029,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1993,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4819,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2613,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2700,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3127,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4455,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4849,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2163,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4339,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2921,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4644,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1655,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3773,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2306,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2753,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1906,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4157,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3211,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2838,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5189,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2723,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-5205,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1289,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-1362,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2026,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2339,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2470,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3028,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2428,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-2564,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-4316,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3782,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
NIBRX-3816,,CLR457,treatment,20 mg/kg,oral,twice per day,,progressive disease,,drugdosing,DFCI-CPDM
